ODB Name,Step,Frame,Part Instance Name,Node Label,X,Y,Z,Section Name,Material Name,Section Point,RF-RF2,U-U2,AC YIELD
Z:/abaqus_part_2/job_e_20mm.odb,load_perf_plast,Increment      0: Step Time =    0.000,"PART-1-1",32,22.5,0.,0.,NA,NA,"",0.,0.,0.
Z:/abaqus_part_2/job_e_20mm.odb,load_perf_plast,Increment      0: Step Time =    0.000,"PART-1-1",33,-42.1166458,24.8843746,0.,NA,NA,"",0.,0.,0.
Z:/abaqus_part_2/job_e_20mm.odb,load_perf_plast,Increment      0: Step Time =    0.000,"PART-1-1",34,41.8408203,21.4515724,0.,NA,NA,"",0.,0.,0.
Z:/abaqus_part_2/job_e_20mm.odb,load_perf_plast,Increment      0: Step Time =    0.000,"PART-1-1",35,-60.9669685,13.1057463,0.,NA,NA,"",0.,0.,0.
Z:/abaqus_part_2/job_e_20mm.odb,load_perf_plast,Increment      0: Step Time =    0.000,"PART-1-1",36,65.4179230,20.4018879,0.,NA,NA,"",0.,0.,0.
Z:/abaqus_part_2/job_e_20mm.odb,load_perf_plast,Increment      0: Step Time =    0.000,"PART-1-1",37,-82.5528564,20.0025139,0.,NA,NA,"",0.,0.,0.
Z:/abaqus_part_2/job_e_20mm.odb,load_perf_plast,Increment      0: Step Time =    0.000,"PART-1-1",38,87.1690674,20.0864162,0.,NA,NA,"",0.,0.,0.
Z:/abaqus_part_2/job_e_20mm.odb,load_perf_plast,Increment      0: Step Time =    0.000,"PART-1-1",39,-42.8549538,11.9290600,0.,NA,NA,"",0.,0.,0.
Z:/abaqus_part_2/job_e_20mm.odb,load_perf_plast,Increment      0: Step Time =    0.000,"PART-1-1",40,108.619385,19.9939823,0.,NA,NA,"",0.,0.,0.
Z:/abaqus_part_2/job_e_20mm.odb,load_perf_plast,Increment      0: Step Time =    0.000,"PART-1-1",41,16.7184010,21.6136360,0.,NA,NA,"",0.,0.,0.
Z:/abaqus_part_2/job_e_20mm.odb,load_perf_plast,Increment      0: Step Time =    0.000,"PART-1-1",42,-107.830605,19.9578686,0.,NA,NA,"",0.,0.,0.
Z:/abaqus_part_2/job_e_20mm.odb,load_perf_plast,Increment      0: Step Time =    0.000,"PART-1-1",43,-23.0442448,13.8256569,0.,NA,NA,"",0.,0.,0.
Z:/abaqus_part_2/job_e_20mm.odb,load_perf_plast,Increment      0: Step Time =    0.000,"PART-1-1",44,-53.7048798,25.9198685,0.,NA,NA,"",0.,0.,0.
Z:/abaqus_part_2/job_e_20mm.odb,load_perf_plast,Increment      0: Step Time =    0.000,"PART-1-1",45,-67.0262527,29.6584396,0.,NA,NA,"",0.,0.,0.
Z:/abaqus_part_2/job_e_20mm.odb,load_perf_plast,Increment      0: Step Time =    0.000,"PART-1-1",46,-28.1685333,25.8322906,0.,NA,NA,"",0.,0.,0.
Z:/abaqus_part_2/job_e_20mm.odb,load_perf_plast,Increment      0: Step Time =    0.000,"PART-1-1",47,36.2005272,30.1683235,0.,NA,NA,"",0.,0.,0.
Z:/abaqus_part_2/job_e_20mm.odb,load_perf_plast,Increment      0: Step Time =    0.000,"PART-1-1",48,23.7214508,30.7957516,0.,NA,NA,"",0.,0.,0.
Z:/abaqus_part_2/job_e_20mm.odb,load_perf_plast,Increment      0: Step Time =    0.000,"PART-1-1",49,0.,20.,15.,NA,NA,"",0.,0.,0.
Z:/abaqus_part_2/job_e_20mm.odb,load_perf_plast,Increment      0: Step Time =    0.000,"PART-1-1",50,-1.,0.,15.,NA,NA,"",0.,0.,0.
Z:/abaqus_part_2/job_e_20mm.odb,load_perf_plast,Increment      0: Step Time =    0.000,"PART-1-1",51,-130.,0.,15.,NA,NA,"",-0.,0.,0.
Z:/abaqus_part_2/job_e_20mm.odb,load_perf_plast,Increment      0: Step Time =    0.000,"PART-1-1",52,-130.,40.,15.,NA,NA,"",0.,0.,0.
Z:/abaqus_part_2/job_e_20mm.odb,load_perf_plast,Increment      0: Step Time =    0.000,"PART-1-1",53,-45.,40.,15.,NA,NA,"",-0.,0.,0.
Z:/abaqus_part_2/job_e_20mm.odb,load_perf_plast,Increment      0: Step Time =    0.000,"PART-1-1",54,-41.6666679,40.,15.,NA,NA,"",-0.,0.,0.
Z:/abaqus_part_2/job_e_20mm.odb,load_perf_plast,Increment      0: Step Time =    0.000,"PART-1-1",55,41.6666679,40.,15.,NA,NA,"",-0.,0.,0.
Z:/abaqus_part_2/job_e_20mm.odb,load_perf_plast,Increment      0: Step Time =    0.000,"PART-1-1",56,45.,40.,15.,NA,NA,"",-0.,0.,0.
Z:/abaqus_part_2/job_e_20mm.odb,load_perf_plast,Increment      0: Step Time =    0.000,"PART-1-1",57,130.,40.,15.,NA,NA,"",0.,0.,0.
Z:/abaqus_part_2/job_e_20mm.odb,load_perf_plast,Increment      0: Step Time =    0.000,"PART-1-1",58,130.,0.,15.,NA,NA,"",-0.,0.,0.
Z:/abaqus_part_2/job_e_20mm.odb,load_perf_plast,Increment      0: Step Time =    0.000,"PART-1-1",59,1.,0.,15.,NA,NA,"",0.,0.,0.
Z:/abaqus_part_2/job_e_20mm.odb,load_perf_plast,Increment      0: Step Time =    0.000,"PART-1-1",60,-22.5,0.,15.,NA,NA,"",0.,0.,0.
Z:/abaqus_part_2/job_e_20mm.odb,load_perf_plast,Increment      0: Step Time =    0.000,"PART-1-1",61,-44.,0.,15.,NA,NA,"",0.,0.,0.
Z:/abaqus_part_2/job_e_20mm.odb,load_perf_plast,Increment      0: Step Time =    0.000,"PART-1-1",62,-65.5,0.,15.,NA,NA,"",0.,0.,0.
Z:/abaqus_part_2/job_e_20mm.odb,load_perf_plast,Increment      0: Step Time =    0.000,"PART-1-1",63,-87.,0.,15.,NA,NA,"",0.,0.,0.
Z:/abaqus_part_2/job_e_20mm.odb,load_perf_plast,Increment      0: Step Time =    0.000,"PART-1-1",64,-108.5,0.,15.,NA,NA,"",0.,0.,0.
Z:/abaqus_part_2/job_e_20mm.odb,load_perf_plast,Increment      0: Step Time =    0.000,"PART-1-1",65,-130.,20.,15.,NA,NA,"",0.,0.,0.
Z:/abaqus_part_2/job_e_20mm.odb,load_perf_plast,Increment      0: Step Time =    0.000,"PART-1-1",66,-108.75,40.,15.,NA,NA,"",0.,0.,0.
Z:/abaqus_part_2/job_e_20mm.odb,load_perf_plast,Increment      0: Step Time =    0.000,"PART-1-1",67,-87.5,40.,15.,NA,NA,"",0.,0.,0.
Z:/abaqus_part_2/job_e_20mm.odb,load_perf_plast,Increment      0: Step Time =    0.000,"PART-1-1",68,-66.25,40.,15.,NA,NA,"",0.,0.,0.
Z:/abaqus_part_2/job_e_20mm.odb,load_perf_plast,Increment      0: Step Time =    0.000,"PART-1-1",69,-20.8333340,40.,15.,NA,NA,"",0.,0.,0.
Z:/abaqus_part_2/job_e_20mm.odb,load_perf_plast,Increment      0: Step Time =    0.000,"PART-1-1",70,0.,40.,15.,NA,NA,"",0.,0.,0.
Z:/abaqus_part_2/job_e_20mm.odb,load_perf_plast,Increment      0: Step Time =    0.000,"PART-1-1",71,20.8333340,40.,15.,NA,NA,"",0.,0.,0.
Z:/abaqus_part_2/job_e_20mm.odb,load_perf_plast,Increment      0: Step Time =    0.000,"PART-1-1",72,66.25,40.,15.,NA,NA,"",0.,0.,0.
Z:/abaqus_part_2/job_e_20mm.odb,load_perf_plast,Increment      0: Step Time =    0.000,"PART-1-1",73,87.5,40.,15.,NA,NA,"",0.,0.,0.
Z:/abaqus_part_2/job_e_20mm.odb,load_perf_plast,Increment      0: Step Time =    0.000,"PART-1-1",74,108.75,40.,15.,NA,NA,"",0.,0.,0.
Z:/abaqus_part_2/job_e_20mm.odb,load_perf_plast,Increment      0: Step Time =    0.000,"PART-1-1",75,130.,20.,15.,NA,NA,"",0.,0.,0.
Z:/abaqus_part_2/job_e_20mm.odb,load_perf_plast,Increment      0: Step Time =    0.000,"PART-1-1",76,108.5,0.,15.,NA,NA,"",0.,0.,0.
Z:/abaqus_part_2/job_e_20mm.odb,load_perf_plast,Increment      0: Step Time =    0.000,"PART-1-1",77,87.,0.,15.,NA,NA,"",0.,0.,0.
