ODB Name,Step,Frame,Part Instance Name,Node Label,X,Y,Z,Section Name,Material Name,Section Point,UT-Magnitude,UT-UT1,UT-UT2
C:/Temp/job_eul.odb,charge,Increment      1: Step Time =   2.2200E-16,"BEAM-1",587,183.,-10.,0.,NA,NA,"",420.999616E-03,-9.14995838E-03,-420.900196E-03
C:/Temp/job_eul.odb,charge,Increment      1: Step Time =   2.2200E-16,"BEAM-1",588,184.,-10.,0.,NA,NA,"",396.688044E-03,-9.19995829E-03,-396.581352E-03
C:/Temp/job_eul.odb,charge,Increment      1: Step Time =   2.2200E-16,"BEAM-1",589,185.,-10.,0.,NA,NA,"",372.297436E-03,-9.24995821E-03,-372.182488E-03
C:/Temp/job_eul.odb,charge,Increment      1: Step Time =   2.2200E-16,"BEAM-1",590,186.,-10.,0.,NA,NA,"",347.833008E-03,-9.29995812E-03,-347.708672E-03
C:/Temp/job_eul.odb,charge,Increment      1: Step Time =   2.2200E-16,"BEAM-1",591,187.,-10.,0.,NA,NA,"",323.300064E-03,-9.34995804E-03,-323.164821E-03
C:/Temp/job_eul.odb,charge,Increment      1: Step Time =   2.2200E-16,"BEAM-1",592,188.,-10.,0.,NA,NA,"",298.703939E-03,-9.39995702E-03,-298.556000E-03
C:/Temp/job_eul.odb,charge,Increment      1: Step Time =   2.2200E-16,"BEAM-1",593,189.,-10.,0.,NA,NA,"",274.050146E-03,-9.44995694E-03,-273.887157E-03
C:/Temp/job_eul.odb,charge,Increment      1: Step Time =   2.2200E-16,"BEAM-1",594,190.,-10.,0.,NA,NA,"",249.344349E-03,-9.49995685E-03,-249.163315E-03
C:/Temp/job_eul.odb,charge,Increment      1: Step Time =   2.2200E-16,"BEAM-1",595,191.,-10.,0.,NA,NA,"",224.592626E-03,-9.54995677E-03,-224.389493E-03
C:/Temp/job_eul.odb,charge,Increment      1: Step Time =   2.2200E-16,"BEAM-1",596,192.,-10.,0.,NA,NA,"",199.801415E-03,-9.59995668E-03,-199.570656E-03
C:/Temp/job_eul.odb,charge,Increment      1: Step Time =   2.2200E-16,"BEAM-1",597,193.,-10.,0.,NA,NA,"",174.978122E-03,-9.64995660E-03,-174.711823E-03
C:/Temp/job_eul.odb,charge,Increment      1: Step Time =   2.2200E-16,"BEAM-1",598,194.,-10.,0.,NA,NA,"",150.131673E-03,-9.69995558E-03,-149.817988E-03
C:/Temp/job_eul.odb,charge,Increment      1: Step Time =   2.2200E-16,"BEAM-1",599,195.,-10.,0.,NA,NA,"",125.274152E-03,-9.74995550E-03,-124.894157E-03
C:/Temp/job_eul.odb,charge,Increment      1: Step Time =   2.2200E-16,"BEAM-1",600,196.,-10.,0.,NA,NA,"",100.424625E-03,-9.79995541E-03,-99.9453217E-03
C:/Temp/job_eul.odb,charge,Increment      1: Step Time =   2.2200E-16,"BEAM-1",601,197.,-10.,0.,NA,NA,"",75.6207407E-03,-9.84995533E-03,-74.9764964E-03
C:/Temp/job_eul.odb,charge,Increment      1: Step Time =   2.2200E-16,"BEAM-1",602,198.,-10.,0.,NA,NA,"",50.9634726E-03,-9.89995524E-03,-49.9926619E-03
C:/Temp/job_eul.odb,charge,Increment      1: Step Time =   2.2200E-16,"BEAM-1",603,199.,-10.,0.,NA,NA,"",26.9061923E-03,-9.94995516E-03,-24.9988306E-03
