ODB Name,Step,Frame,Part Instance Name,Node Label,X,Y,Z,Section Name,Material Name,Section Point,UT-Magnitude,UT-UT1,UT-UT2
/prb1_bonus/Job-1.odb,charge,Increment      1: Step Time =   2.2200E-16,"BEAM-1",29,2.,0.,0.,NA,NA,"",506.125041E-06,-99.9995464E-06,-496.147783E-06
/prb1_bonus/Job-1.odb,charge,Increment      1: Step Time =   2.2200E-16,"BEAM-1",30,2.09999990,0.,0.,NA,NA,"",530.727906E-06,-104.999519E-06,-520.237663E-06
/prb1_bonus/Job-1.odb,charge,Increment      1: Step Time =   2.2200E-16,"BEAM-1",31,2.20000005,0.,0.,NA,NA,"",555.227976E-06,-109.999506E-06,-544.222596E-06
/prb1_bonus/Job-1.odb,charge,Increment      1: Step Time =   2.2200E-16,"BEAM-1",32,2.29999995,0.,0.,NA,NA,"",579.620246E-06,-114.999479E-06,-568.097457E-06
/prb1_bonus/Job-1.odb,charge,Increment      1: Step Time =   2.2200E-16,"BEAM-1",33,2.40000010,0.,0.,NA,NA,"",603.899825E-06,-119.999459E-06,-591.857359E-06
/prb1_bonus/Job-1.odb,charge,Increment      1: Step Time =   2.2200E-16,"BEAM-1",34,2.5,0.,0.,NA,NA,"",628.061884E-06,-124.999438E-06,-615.497236E-06
/prb1_bonus/Job-1.odb,charge,Increment      1: Step Time =   2.2200E-16,"BEAM-1",35,2.59999990,0.,0.,NA,NA,"",652.101473E-06,-129.999404E-06,-639.012142E-06
/prb1_bonus/Job-1.odb,charge,Increment      1: Step Time =   2.2200E-16,"BEAM-1",36,2.70000005,0.,0.,NA,NA,"",676.013820E-06,-134.999384E-06,-662.397069E-06
/prb1_bonus/Job-1.odb,charge,Increment      1: Step Time =   2.2200E-16,"BEAM-1",37,2.79999995,0.,0.,NA,NA,"",699.793920E-06,-139.999363E-06,-685.646955E-06
/prb1_bonus/Job-1.odb,charge,Increment      1: Step Time =   2.2200E-16,"BEAM-1",38,2.90000010,0.,0.,NA,NA,"",723.437057E-06,-144.999343E-06,-708.756910E-06
/prb1_bonus/Job-1.odb,charge,Increment      1: Step Time =   2.2200E-16,"BEAM-1",39,3.,0.,0.,NA,NA,"",746.938167E-06,-149.999323E-06,-731.721811E-06
/prb1_bonus/Job-1.odb,charge,Increment      1: Step Time =   2.2200E-16,"BEAM-1",40,3.09999990,0.,0.,NA,NA,"",770.292419E-06,-154.999288E-06,-754.536712E-06
/prb1_bonus/Job-1.odb,charge,Increment      1: Step Time =   2.2200E-16,"BEAM-1",41,3.20000005,0.,0.,NA,NA,"",793.495099E-06,-159.999283E-06,-777.196663E-06
/prb1_bonus/Job-1.odb,charge,Increment      1: Step Time =   2.2200E-16,"BEAM-1",42,3.29999995,0.,0.,NA,NA,"",816.541084E-06,-164.999248E-06,-799.696543E-06
/prb1_bonus/Job-1.odb,charge,Increment      1: Step Time =   2.2200E-16,"BEAM-1",43,3.40000010,0.,0.,NA,NA,"",839.425717E-06,-169.999228E-06,-822.031521E-06
/prb1_bonus/Job-1.odb,charge,Increment      1: Step Time =   2.2200E-16,"BEAM-1",44,3.5,0.,0.,NA,NA,"",862.144050E-06,-174.999208E-06,-844.196416E-06
/prb1_bonus/Job-1.odb,charge,Increment      1: Step Time =   2.2200E-16,"BEAM-1",45,3.59999990,0.,0.,NA,NA,"",884.691137E-06,-179.999173E-06,-866.186281E-06
/prb1_bonus/Job-1.odb,charge,Increment      1: Step Time =   2.2200E-16,"BEAM-1",46,3.70000005,0.,0.,NA,NA,"",907.062320E-06,-184.999168E-06,-887.996284E-06
/prb1_bonus/Job-1.odb,charge,Increment      1: Step Time =   2.2200E-16,"BEAM-1",47,3.79999995,0.,0.,NA,NA,"",929.252594E-06,-189.999133E-06,-909.621187E-06
/prb1_bonus/Job-1.odb,charge,Increment      1: Step Time =   2.2200E-16,"BEAM-1",48,3.90000010,0.,0.,NA,NA,"",951.257185E-06,-194.999127E-06,-931.056158E-06
/prb1_bonus/Job-1.odb,charge,Increment      1: Step Time =   2.2200E-16,"BEAM-1",49,4.,0.,0.,NA,NA,"",973.071146E-06,-199.999093E-06,-952.296075E-06
/prb1_bonus/Job-1.odb,charge,Increment      1: Step Time =   2.2200E-16,"BEAM-1",50,4.09999990,0.,0.,NA,NA,"",994.689646E-06,-204.999058E-06,-973.335991E-06
/prb1_bonus/Job-1.odb,charge,Increment      1: Step Time =   2.2200E-16,"BEAM-1",51,4.19999981,0.,0.,NA,NA,"",1.01610797E-03,-209.999038E-06,-994.170900E-06
/prb1_bonus/Job-1.odb,charge,Increment      1: Step Time =   2.2200E-16,"BEAM-1",52,4.30000019,0.,0.,NA,NA,"",1.03732129E-03,-214.999032E-06,-1.01479597E-03
/prb1_bonus/Job-1.odb,charge,Increment      1: Step Time =   2.2200E-16,"BEAM-1",53,4.40000010,0.,0.,NA,NA,"",1.05832447E-03,-219.999012E-06,-1.03520590E-03
/prb1_bonus/Job-1.odb,charge,Increment      1: Step Time =   2.2200E-16,"BEAM-1",54,4.5,0.,0.,NA,NA,"",1.07911299E-03,-224.998978E-06,-1.05539581E-03
/prb1_bonus/Job-1.odb,charge,Increment      1: Step Time =   2.2200E-16,"BEAM-1",55,4.59999990,0.,0.,NA,NA,"",1.09968183E-03,-229.998957E-06,-1.07536069E-03
/prb1_bonus/Job-1.odb,charge,Increment      1: Step Time =   2.2200E-16,"BEAM-1",56,4.69999981,0.,0.,NA,NA,"",1.12002634E-03,-234.998923E-06,-1.09509565E-03
/prb1_bonus/Job-1.odb,charge,Increment      1: Step Time =   2.2200E-16,"BEAM-1",57,4.80000019,0.,0.,NA,NA,"",1.14014163E-03,-239.998917E-06,-1.11459568E-03
/prb1_bonus/Job-1.odb,charge,Increment      1: Step Time =   2.2200E-16,"BEAM-1",58,4.90000010,0.,0.,NA,NA,"",1.16002292E-03,-244.998897E-06,-1.13385567E-03
/prb1_bonus/Job-1.odb,charge,Increment      1: Step Time =   2.2200E-16,"BEAM-1",59,5.,0.,0.,NA,NA,"",1.17966521E-03,-249.998877E-06,-1.15287059E-03
/prb1_bonus/Job-1.odb,charge,Increment      1: Step Time =   2.2200E-16,"BEAM-1",60,5.09999990,0.,0.,NA,NA,"",1.19906396E-03,-254.998828E-06,-1.17163558E-03
/prb1_bonus/Job-1.odb,charge,Increment      1: Step Time =   2.2200E-16,"BEAM-1",61,5.19999981,0.,0.,NA,NA,"",1.21821417E-03,-259.998807E-06,-1.19014550E-03
/prb1_bonus/Job-1.odb,charge,Increment      1: Step Time =   2.2200E-16,"BEAM-1",62,5.30000019,0.,0.,NA,NA,"",1.23711128E-03,-264.998816E-06,-1.20839558E-03
/prb1_bonus/Job-1.odb,charge,Increment      1: Step Time =   2.2200E-16,"BEAM-1",63,5.40000010,0.,0.,NA,NA,"",1.25575019E-03,-269.998767E-06,-1.22638047E-03
/prb1_bonus/Job-1.odb,charge,Increment      1: Step Time =   2.2200E-16,"BEAM-1",64,5.5,0.,0.,NA,NA,"",1.27412635E-03,-274.998747E-06,-1.24409550E-03
/prb1_bonus/Job-1.odb,charge,Increment      1: Step Time =   2.2200E-16,"BEAM-1",65,5.59999990,0.,0.,NA,NA,"",1.29223487E-03,-279.998727E-06,-1.26153545E-03
/prb1_bonus/Job-1.odb,charge,Increment      1: Step Time =   2.2200E-16,"BEAM-1",66,5.69999981,0.,0.,NA,NA,"",1.31007109E-03,-284.998707E-06,-1.27869542E-03
/prb1_bonus/Job-1.odb,charge,Increment      1: Step Time =   2.2200E-16,"BEAM-1",67,5.80000019,0.,0.,NA,NA,"",1.32763025E-03,-289.998687E-06,-1.29557052E-03
/prb1_bonus/Job-1.odb,charge,Increment      1: Step Time =   2.2200E-16,"BEAM-1",68,5.90000010,0.,0.,NA,NA,"",1.34490745E-03,-294.998667E-06,-1.31215539E-03
/prb1_bonus/Job-1.odb,charge,Increment      1: Step Time =   2.2200E-16,"BEAM-1",69,6.,0.,0.,NA,NA,"",1.36189803E-03,-299.998646E-06,-1.32844539E-03
/prb1_bonus/Job-1.odb,charge,Increment      1: Step Time =   2.2200E-16,"BEAM-1",70,6.09999990,0.,0.,NA,NA,"",1.37859734E-03,-304.998597E-06,-1.34443538E-03
