ODB Name,Step,Frame,Part Instance Name,Node Label,X,Y,Z,Section Name,Material Name,Section Point,U-U1,U-U2,AC YIELD,PE-Max. Principal
Z:/abaqus_part_2/job_d_20mm.odb,load_perf_plast,Increment      0: Step Time =    0.000,"PART-1-1",1,0.,20.,0.,NA,NA,"",0.,0.,0.,0.
Z:/abaqus_part_2/job_d_20mm.odb,load_perf_plast,Increment      0: Step Time =    0.000,"PART-1-1",2,-1.,0.,0.,NA,NA,"",0.,0.,0.,0.
Z:/abaqus_part_2/job_d_20mm.odb,load_perf_plast,Increment      0: Step Time =    0.000,"PART-1-1",3,-130.,0.,0.,NA,NA,"",0.,0.,0.,0.
Z:/abaqus_part_2/job_d_20mm.odb,load_perf_plast,Increment      0: Step Time =    0.000,"PART-1-1",4,-130.,40.,0.,NA,NA,"",0.,0.,0.,0.
Z:/abaqus_part_2/job_d_20mm.odb,load_perf_plast,Increment      0: Step Time =    0.000,"PART-1-1",5,-45.,40.,0.,NA,NA,"",0.,0.,0.,0.
Z:/abaqus_part_2/job_d_20mm.odb,load_perf_plast,Increment      0: Step Time =    0.000,"PART-1-1",6,-41.6667,40.,0.,NA,NA,"",0.,0.,0.,0.
Z:/abaqus_part_2/job_d_20mm.odb,load_perf_plast,Increment      0: Step Time =    0.000,"PART-1-1",7,41.6667,40.,0.,NA,NA,"",0.,0.,0.,0.
Z:/abaqus_part_2/job_d_20mm.odb,load_perf_plast,Increment      0: Step Time =    0.000,"PART-1-1",8,45.,40.,0.,NA,NA,"",0.,0.,0.,0.
Z:/abaqus_part_2/job_d_20mm.odb,load_perf_plast,Increment      0: Step Time =    0.000,"PART-1-1",9,130.,40.,0.,NA,NA,"",0.,0.,0.,0.
Z:/abaqus_part_2/job_d_20mm.odb,load_perf_plast,Increment      0: Step Time =    0.000,"PART-1-1",10,130.,0.,0.,NA,NA,"",0.,0.,0.,0.
Z:/abaqus_part_2/job_d_20mm.odb,load_perf_plast,Increment      0: Step Time =    0.000,"PART-1-1",11,1.,0.,0.,NA,NA,"",0.,0.,0.,0.
Z:/abaqus_part_2/job_d_20mm.odb,load_perf_plast,Increment      0: Step Time =    0.000,"PART-1-1",12,-22.5,0.,0.,NA,NA,"",0.,0.,0.,0.
Z:/abaqus_part_2/job_d_20mm.odb,load_perf_plast,Increment      0: Step Time =    0.000,"PART-1-1",13,-44.,0.,0.,NA,NA,"",0.,0.,0.,0.
