ODB Name,Step,Frame,Part Instance Name,Node Label,X,Y,Z,Section Name,Material Name,Section Point,U-U2,MISESMAX,SF-SF2,SM-SM1
C:/Temp/Job-1.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-3",32,-102.333336,15.,0.,NA,NA,"",-1.01171601,32.5,23.6539345E-06,-130.000008E+03
C:/Temp/Job-1.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-3",33,-98.,15.,0.,NA,NA,"",-1.02061582,32.5,23.6538599E-06,-130.000008E+03
C:/Temp/Job-1.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-3",34,-93.6666641,15.,0.,NA,NA,"",-1.02697289,32.5,23.6538399E-06,-130.000008E+03
C:/Temp/Job-1.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-3",35,-89.3333359,15.,0.,NA,NA,"",-1.03078711,32.5,23.6539017E-06,-130.000008E+03
C:/Temp/Job-1.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-3",36,-85.,15.,0.,NA,NA,"",-1.03205860,32.5,23.6538199E-06,-130.000008E+03
C:/Temp/Job-1.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-3",37,-80.6666641,15.,0.,NA,NA,"",-1.03078711,32.5,23.6537271E-06,-130.000008E+03
C:/Temp/Job-1.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-3",38,-76.3333359,15.,0.,NA,NA,"",-1.02697289,32.5,23.6537435E-06,-130.000008E+03
C:/Temp/Job-1.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-3",39,-72.,15.,0.,NA,NA,"",-1.02061582,32.5,23.6537744E-06,-130.000008E+03
C:/Temp/Job-1.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-3",40,-67.6666641,15.,0.,NA,NA,"",-1.01171601,32.5,23.6537744E-06,-130.000008E+03
C:/Temp/Job-1.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-3",41,-63.3333321,15.,0.,NA,NA,"",-1.00027323,32.5,23.6537762E-06,-130.000008E+03
C:/Temp/Job-1.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-3",42,-59.,15.,0.,NA,NA,"",-986.287713E-03,32.5,23.6537635E-06,-130.000008E+03
C:/Temp/Job-1.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-3",43,-54.6666679,15.,0.,NA,NA,"",-969.759405E-03,32.5,23.6537817E-06,-130.000008E+03
C:/Temp/Job-1.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-3",44,-50.3333321,15.,0.,NA,NA,"",-950.688183E-03,32.5,23.6537853E-06,-130.000008E+03
C:/Temp/Job-1.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-3",45,-46.,15.,0.,NA,NA,"",-929.074168E-03,32.5,23.6537271E-06,-130.000008E+03
C:/Temp/Job-1.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-3",46,-37.3333321,15.,0.,NA,NA,"",-875.373423E-03,30.875,1.5E+03,-123.5E+03
C:/Temp/Job-1.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-3",47,-33.,15.,0.,NA,NA,"",-843.413830E-03,29.25,1.5E+03,-117.E+03
C:/Temp/Job-1.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-3",48,-28.6666660,15.,0.,NA,NA,"",-809.165657E-03,27.625,1.5E+03,-110.5E+03
C:/Temp/Job-1.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-3",49,-24.3333340,15.,0.,NA,NA,"",-772.756100E-03,26.,1.5E+03,-104.E+03
C:/Temp/Job-1.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-3",50,-20.,15.,0.,NA,NA,"",-734.312296E-03,24.375,1.5E+03,-97.5E+03
C:/Temp/Job-1.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-3",51,-15.6666670,15.,0.,NA,NA,"",-693.961382E-03,22.75,1.5E+03,-91.E+03
C:/Temp/Job-1.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-3",52,-11.3333330,15.,0.,NA,NA,"",-651.830435E-03,21.125,1.5E+03,-84.5E+03
C:/Temp/Job-1.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-3",53,-7.,15.,0.,NA,NA,"",-608.046710E-03,19.5,1.5E+03,-78.E+03
C:/Temp/Job-1.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-3",54,-2.66666675,15.,0.,NA,NA,"",-562.737286E-03,17.875,1.5E+03,-71.5E+03
C:/Temp/Job-1.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-3",55,1.66666663,15.,0.,NA,NA,"",-516.029298E-03,16.25,1.5E+03,-65.E+03
C:/Temp/Job-1.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-3",56,6.,15.,0.,NA,NA,"",-468.049884E-03,14.625,1.5E+03,-58.5E+03
C:/Temp/Job-1.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-3",57,10.3333330,15.,0.,NA,NA,"",-418.926209E-03,13.,1.5E+03,-52.E+03
C:/Temp/Job-1.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-3",58,14.6666670,15.,0.,NA,NA,"",-368.785381E-03,11.375,1.5E+03,-45.5E+03
C:/Temp/Job-1.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-3",59,19.,15.,0.,NA,NA,"",-317.754596E-03,9.75,1.5E+03,-39.E+03
C:/Temp/Job-1.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-3",60,23.3333340,15.,0.,NA,NA,"",-265.960962E-03,8.125,1.5E+03,-32.5E+03
C:/Temp/Job-1.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-3",61,27.6666660,15.,0.,NA,NA,"",-213.531628E-03,6.5,1.5E+03,-26.E+03
C:/Temp/Job-1.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-3",62,32.,15.,0.,NA,NA,"",-160.593703E-03,4.875,1.5E+03,-19.5E+03
C:/Temp/Job-1.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-3",63,36.3333321,15.,0.,NA,NA,"",-107.274391E-03,3.25000024,1.5E+03,-13.E+03
C:/Temp/Job-1.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-3",64,40.6666679,15.,0.,NA,NA,"",-53.7007414E-03,1.62499988,1.5E+03,-6.49999951E+03
C:/Temp/Job-1.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-3",5,-215.,0.,0.,NA,NA,"",-1.50000004E-33,812.498987E-03,-1.5E+03,-3.24999609E+03
C:/Temp/Job-1.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-3",6,-85.,0.,0.,NA,NA,"",-1.23023486,47.9375,0.,-191.75E+03
C:/Temp/Job-1.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-3",7,45.,0.,0.,NA,NA,"",-1.50000004E-33,812.499762E-03,1.5E+03,-3.24999902E+03
C:/Temp/Job-1.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-3",65,-210.666672,0.,0.,NA,NA,"",-60.0577444E-03,1.62499952,-1.5E+03,-6.49999805E+03
C:/Temp/Job-1.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-3",66,-206.333328,0.,0.,NA,NA,"",-119.988568E-03,3.25000048,-1.5E+03,-13.0000020E+03
C:/Temp/Job-1.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-3",67,-202.,0.,0.,NA,NA,"",-179.664880E-03,4.875,-1.5E+03,-19.5E+03
C:/Temp/Job-1.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-3",68,-197.666672,0.,0.,NA,NA,"",-238.959789E-03,6.49999952,-1.5E+03,-25.9999980E+03
C:/Temp/Job-1.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-3",69,-193.333328,0.,0.,NA,NA,"",-297.746330E-03,8.125,-1.5E+03,-32.5000020E+03
C:/Temp/Job-1.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-3",70,-189.,0.,0.,NA,NA,"",-355.896950E-03,9.75,-1.5E+03,-39.E+03
C:/Temp/Job-1.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-3",71,-184.666672,0.,0.,NA,NA,"",-413.284749E-03,11.375,-1.5E+03,-45.5E+03
C:/Temp/Job-1.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-3",72,-180.333328,0.,0.,NA,NA,"",-469.782740E-03,13.,-1.5E+03,-52.E+03
