ODB Name,Step,Frame,Part Instance Name,Node Label,X,Y,Z,Section Name,Material Name,Section Point,RF-RF2,U-U2,AC YIELD,PE-Max. Principal
Z:/abaqus_part_2/job_c20.odb,load_perf_plast,Increment      0: Step Time =    0.000,"PART-1-1",1,0.,20.,0.,NA,NA,"",0.,0.,0.,0.
Z:/abaqus_part_2/job_c20.odb,load_perf_plast,Increment      0: Step Time =    0.000,"PART-1-1",2,-1.,0.,0.,NA,NA,"",0.,0.,0.,0.
Z:/abaqus_part_2/job_c20.odb,load_perf_plast,Increment      0: Step Time =    0.000,"PART-1-1",3,-130.,0.,0.,NA,NA,"",-0.,0.,0.,0.
Z:/abaqus_part_2/job_c20.odb,load_perf_plast,Increment      0: Step Time =    0.000,"PART-1-1",4,-130.,40.,0.,NA,NA,"",0.,0.,0.,0.
Z:/abaqus_part_2/job_c20.odb,load_perf_plast,Increment      0: Step Time =    0.000,"PART-1-1",5,-45.,40.,0.,NA,NA,"",0.,0.,0.,0.
Z:/abaqus_part_2/job_c20.odb,load_perf_plast,Increment      0: Step Time =    0.000,"PART-1-1",6,-41.6666679,40.,0.,NA,NA,"",0.,0.,0.,0.
Z:/abaqus_part_2/job_c20.odb,load_perf_plast,Increment      0: Step Time =    0.000,"PART-1-1",7,41.6666679,40.,0.,NA,NA,"",0.,0.,0.,0.
Z:/abaqus_part_2/job_c20.odb,load_perf_plast,Increment      0: Step Time =    0.000,"PART-1-1",8,45.,40.,0.,NA,NA,"",0.,0.,0.,0.
Z:/abaqus_part_2/job_c20.odb,load_perf_plast,Increment      0: Step Time =    0.000,"PART-1-1",9,130.,40.,0.,NA,NA,"",0.,0.,0.,0.
Z:/abaqus_part_2/job_c20.odb,load_perf_plast,Increment      0: Step Time =    0.000,"PART-1-1",10,130.,0.,0.,NA,NA,"",-0.,0.,0.,0.
Z:/abaqus_part_2/job_c20.odb,load_perf_plast,Increment      0: Step Time =    0.000,"PART-1-1",11,1.,0.,0.,NA,NA,"",0.,0.,0.,0.
Z:/abaqus_part_2/job_c20.odb,load_perf_plast,Increment      0: Step Time =    0.000,"PART-1-1",12,-22.5,0.,0.,NA,NA,"",0.,0.,0.,0.
Z:/abaqus_part_2/job_c20.odb,load_perf_plast,Increment      0: Step Time =    0.000,"PART-1-1",13,-44.,0.,0.,NA,NA,"",0.,0.,0.,0.
Z:/abaqus_part_2/job_c20.odb,load_perf_plast,Increment      0: Step Time =    0.000,"PART-1-1",14,-65.5,0.,0.,NA,NA,"",0.,0.,0.,0.
Z:/abaqus_part_2/job_c20.odb,load_perf_plast,Increment      0: Step Time =    0.000,"PART-1-1",15,-87.,0.,0.,NA,NA,"",0.,0.,0.,0.
Z:/abaqus_part_2/job_c20.odb,load_perf_plast,Increment      0: Step Time =    0.000,"PART-1-1",16,-108.5,0.,0.,NA,NA,"",0.,0.,0.,0.
Z:/abaqus_part_2/job_c20.odb,load_perf_plast,Increment      0: Step Time =    0.000,"PART-1-1",17,-130.,20.,0.,NA,NA,"",0.,0.,0.,0.
Z:/abaqus_part_2/job_c20.odb,load_perf_plast,Increment      0: Step Time =    0.000,"PART-1-1",18,-108.75,40.,0.,NA,NA,"",0.,0.,0.,0.
Z:/abaqus_part_2/job_c20.odb,load_perf_plast,Increment      0: Step Time =    0.000,"PART-1-1",19,-87.5,40.,0.,NA,NA,"",0.,0.,0.,0.
Z:/abaqus_part_2/job_c20.odb,load_perf_plast,Increment      0: Step Time =    0.000,"PART-1-1",20,-66.25,40.,0.,NA,NA,"",0.,0.,0.,0.
Z:/abaqus_part_2/job_c20.odb,load_perf_plast,Increment      0: Step Time =    0.000,"PART-1-1",21,-20.8333340,40.,0.,NA,NA,"",0.,0.,0.,0.
Z:/abaqus_part_2/job_c20.odb,load_perf_plast,Increment      0: Step Time =    0.000,"PART-1-1",22,0.,40.,0.,NA,NA,"",0.,0.,0.,0.
Z:/abaqus_part_2/job_c20.odb,load_perf_plast,Increment      0: Step Time =    0.000,"PART-1-1",23,20.8333340,40.,0.,NA,NA,"",0.,0.,0.,0.
Z:/abaqus_part_2/job_c20.odb,load_perf_plast,Increment      0: Step Time =    0.000,"PART-1-1",24,66.25,40.,0.,NA,NA,"",0.,0.,0.,0.
Z:/abaqus_part_2/job_c20.odb,load_perf_plast,Increment      0: Step Time =    0.000,"PART-1-1",25,87.5,40.,0.,NA,NA,"",0.,0.,0.,0.
Z:/abaqus_part_2/job_c20.odb,load_perf_plast,Increment      0: Step Time =    0.000,"PART-1-1",26,108.75,40.,0.,NA,NA,"",0.,0.,0.,0.
Z:/abaqus_part_2/job_c20.odb,load_perf_plast,Increment      0: Step Time =    0.000,"PART-1-1",27,130.,20.,0.,NA,NA,"",0.,0.,0.,0.
Z:/abaqus_part_2/job_c20.odb,load_perf_plast,Increment      0: Step Time =    0.000,"PART-1-1",28,108.5,0.,0.,NA,NA,"",0.,0.,0.,0.
Z:/abaqus_part_2/job_c20.odb,load_perf_plast,Increment      0: Step Time =    0.000,"PART-1-1",29,87.,0.,0.,NA,NA,"",0.,0.,0.,0.
Z:/abaqus_part_2/job_c20.odb,load_perf_plast,Increment      0: Step Time =    0.000,"PART-1-1",30,65.5,0.,0.,NA,NA,"",0.,0.,0.,0.
Z:/abaqus_part_2/job_c20.odb,load_perf_plast,Increment      0: Step Time =    0.000,"PART-1-1",31,44.,0.,0.,NA,NA,"",0.,0.,0.,0.
Z:/abaqus_part_2/job_c20.odb,load_perf_plast,Increment      0: Step Time =    0.000,"PART-1-1",32,22.5,0.,0.,NA,NA,"",0.,0.,0.,0.
Z:/abaqus_part_2/job_c20.odb,load_perf_plast,Increment      0: Step Time =    0.000,"PART-1-1",33,-42.1166458,24.8843746,0.,NA,NA,"",0.,0.,0.,0.
Z:/abaqus_part_2/job_c20.odb,load_perf_plast,Increment      0: Step Time =    0.000,"PART-1-1",34,41.8408203,21.4515724,0.,NA,NA,"",0.,0.,0.,0.
Z:/abaqus_part_2/job_c20.odb,load_perf_plast,Increment      0: Step Time =    0.000,"PART-1-1",35,-60.9669685,13.1057463,0.,NA,NA,"",0.,0.,0.,0.
Z:/abaqus_part_2/job_c20.odb,load_perf_plast,Increment      0: Step Time =    0.000,"PART-1-1",36,65.4179230,20.4018879,0.,NA,NA,"",0.,0.,0.,0.
Z:/abaqus_part_2/job_c20.odb,load_perf_plast,Increment      0: Step Time =    0.000,"PART-1-1",37,-82.5528564,20.0025139,0.,NA,NA,"",0.,0.,0.,0.
Z:/abaqus_part_2/job_c20.odb,load_perf_plast,Increment      0: Step Time =    0.000,"PART-1-1",38,87.1690674,20.0864162,0.,NA,NA,"",0.,0.,0.,0.
Z:/abaqus_part_2/job_c20.odb,load_perf_plast,Increment      0: Step Time =    0.000,"PART-1-1",39,-42.8549538,11.9290600,0.,NA,NA,"",0.,0.,0.,0.
Z:/abaqus_part_2/job_c20.odb,load_perf_plast,Increment      0: Step Time =    0.000,"PART-1-1",40,108.619385,19.9939823,0.,NA,NA,"",0.,0.,0.,0.
Z:/abaqus_part_2/job_c20.odb,load_perf_plast,Increment      0: Step Time =    0.000,"PART-1-1",41,16.7184010,21.6136360,0.,NA,NA,"",0.,0.,0.,0.
Z:/abaqus_part_2/job_c20.odb,load_perf_plast,Increment      0: Step Time =    0.000,"PART-1-1",42,-107.830605,19.9578686,0.,NA,NA,"",0.,0.,0.,0.
Z:/abaqus_part_2/job_c20.odb,load_perf_plast,Increment      0: Step Time =    0.000,"PART-1-1",43,-23.0442448,13.8256569,0.,NA,NA,"",0.,0.,0.,0.
Z:/abaqus_part_2/job_c20.odb,load_perf_plast,Increment      0: Step Time =    0.000,"PART-1-1",44,-53.7048798,25.9198685,0.,NA,NA,"",0.,0.,0.,0.
Z:/abaqus_part_2/job_c20.odb,load_perf_plast,Increment      0: Step Time =    0.000,"PART-1-1",45,-67.0262527,29.6584396,0.,NA,NA,"",0.,0.,0.,0.
Z:/abaqus_part_2/job_c20.odb,load_perf_plast,Increment      0: Step Time =    0.000,"PART-1-1",46,-28.1685333,25.8322906,0.,NA,NA,"",0.,0.,0.,0.
Z:/abaqus_part_2/job_c20.odb,load_perf_plast,Increment      0: Step Time =    0.000,"PART-1-1",47,36.2005272,30.1683235,0.,NA,NA,"",0.,0.,0.,0.
Z:/abaqus_part_2/job_c20.odb,load_perf_plast,Increment      0: Step Time =    0.000,"PART-1-1",48,23.7214508,30.7957516,0.,NA,NA,"",0.,0.,0.,0.
Z:/abaqus_part_2/job_c20.odb,load_perf_plast,Increment      0: Step Time =    0.000,"PART-1-1",49,0.,20.,15.,NA,NA,"",0.,0.,0.,0.
Z:/abaqus_part_2/job_c20.odb,load_perf_plast,Increment      0: Step Time =    0.000,"PART-1-1",50,-1.,0.,15.,NA,NA,"",0.,0.,0.,0.
Z:/abaqus_part_2/job_c20.odb,load_perf_plast,Increment      0: Step Time =    0.000,"PART-1-1",51,-130.,0.,15.,NA,NA,"",-0.,0.,0.,0.
Z:/abaqus_part_2/job_c20.odb,load_perf_plast,Increment      0: Step Time =    0.000,"PART-1-1",52,-130.,40.,15.,NA,NA,"",0.,0.,0.,0.
Z:/abaqus_part_2/job_c20.odb,load_perf_plast,Increment      0: Step Time =    0.000,"PART-1-1",53,-45.,40.,15.,NA,NA,"",0.,0.,0.,0.
Z:/abaqus_part_2/job_c20.odb,load_perf_plast,Increment      0: Step Time =    0.000,"PART-1-1",54,-41.6666679,40.,15.,NA,NA,"",0.,0.,0.,0.
Z:/abaqus_part_2/job_c20.odb,load_perf_plast,Increment      0: Step Time =    0.000,"PART-1-1",55,41.6666679,40.,15.,NA,NA,"",0.,0.,0.,0.
Z:/abaqus_part_2/job_c20.odb,load_perf_plast,Increment      0: Step Time =    0.000,"PART-1-1",56,45.,40.,15.,NA,NA,"",0.,0.,0.,0.
Z:/abaqus_part_2/job_c20.odb,load_perf_plast,Increment      0: Step Time =    0.000,"PART-1-1",57,130.,40.,15.,NA,NA,"",0.,0.,0.,0.
