ODB Name,Step,Frame,Part Instance Name,Node Label,X,Y,Z,Section Name,Material Name,Section Point,U-U1,U-U2
Z:/abaqus_part_2/b_2d.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-1",1,-3.,0.,0.,NA,NA,"",219.135031E-03,-2.26447940
Z:/abaqus_part_2/b_2d.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-1",2,-5.,0.,0.,NA,NA,"",219.295666E-03,-2.23880339
Z:/abaqus_part_2/b_2d.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-1",3,-7.,0.,0.,NA,NA,"",219.458088E-03,-2.21355605
Z:/abaqus_part_2/b_2d.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-1",4,-10.,0.,0.,NA,NA,"",219.307348E-03,-2.17671227
Z:/abaqus_part_2/b_2d.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-1",5,-12.,0.,0.,NA,NA,"",218.688577E-03,-2.15279150
Z:/abaqus_part_2/b_2d.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-1",6,-14.,0.,0.,NA,NA,"",217.526585E-03,-2.12921524
Z:/abaqus_part_2/b_2d.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-1",7,-16.,0.,0.,NA,NA,"",215.785965E-03,-2.10582542
Z:/abaqus_part_2/b_2d.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-1",8,-18.,0.,0.,NA,NA,"",213.448018E-03,-2.08245611
Z:/abaqus_part_2/b_2d.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-1",9,-20.,0.,0.,NA,NA,"",210.547403E-03,-2.05893755
Z:/abaqus_part_2/b_2d.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-1",10,-22.,0.,0.,NA,NA,"",207.164809E-03,-2.03515291
Z:/abaqus_part_2/b_2d.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-1",11,-25.,0.,0.,NA,NA,"",201.263145E-03,-1.99874246
Z:/abaqus_part_2/b_2d.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-1",12,-27.,0.,0.,NA,NA,"",196.872354E-03,-1.97384977
Z:/abaqus_part_2/b_2d.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-1",13,-29.,0.,0.,NA,NA,"",192.214698E-03,-1.94839799
Z:/abaqus_part_2/b_2d.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-1",14,-31.,0.,0.,NA,NA,"",187.332630E-03,-1.92236006
Z:/abaqus_part_2/b_2d.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-1",15,-33.,0.,0.,NA,NA,"",182.270229E-03,-1.89569497
Z:/abaqus_part_2/b_2d.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-1",16,-35.,0.,0.,NA,NA,"",177.081361E-03,-1.86838377
Z:/abaqus_part_2/b_2d.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-1",17,-38.,0.,0.,NA,NA,"",169.153944E-03,-1.82621002
Z:/abaqus_part_2/b_2d.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-1",18,-40.,0.,0.,NA,NA,"",163.818806E-03,-1.79727626
Z:/abaqus_part_2/b_2d.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-1",19,-42.,0.,0.,NA,NA,"",158.479795E-03,-1.76769662
Z:/abaqus_part_2/b_2d.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-1",20,-44.,0.,0.,NA,NA,"",153.163850E-03,-1.73747957
Z:/abaqus_part_2/b_2d.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-1",21,-46.,0.,0.,NA,NA,"",147.890612E-03,-1.70663416
Z:/abaqus_part_2/b_2d.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-1",22,-48.,0.,0.,NA,NA,"",142.683804E-03,-1.67517471
Z:/abaqus_part_2/b_2d.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-1",23,-50.,0.,0.,NA,NA,"",137.556568E-03,-1.64311528
Z:/abaqus_part_2/b_2d.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-1",24,-53.,0.,0.,NA,NA,"",130.049452E-03,-1.59395158
Z:/abaqus_part_2/b_2d.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-1",25,-55.,0.,0.,NA,NA,"",125.183001E-03,-1.56048357
Z:/abaqus_part_2/b_2d.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-1",26,-57.,0.,0.,NA,NA,"",120.437801E-03,-1.52648711
Z:/abaqus_part_2/b_2d.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-1",27,-59.,0.,0.,NA,NA,"",115.819737E-03,-1.49198437
Z:/abaqus_part_2/b_2d.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-1",28,-61.,0.,0.,NA,NA,"",111.332662E-03,-1.45699215
Z:/abaqus_part_2/b_2d.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-1",29,-63.,0.,0.,NA,NA,"",106.980667E-03,-1.42153287
Z:/abaqus_part_2/b_2d.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-1",30,-65.,0.,0.,NA,NA,"",102.763116E-03,-1.38562274
Z:/abaqus_part_2/b_2d.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-1",31,-68.,0.,0.,NA,NA,"",96.6930091E-03,-1.33095551
Z:/abaqus_part_2/b_2d.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-1",32,-70.,0.,0.,NA,NA,"",92.8186104E-03,-1.29399979
Z:/abaqus_part_2/b_2d.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-1",33,-72.,0.,0.,NA,NA,"",89.0741646E-03,-1.25666249
Z:/abaqus_part_2/b_2d.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-1",34,-74.,0.,0.,NA,NA,"",85.4666233E-03,-1.21894956
Z:/abaqus_part_2/b_2d.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-1",35,-76.,0.,0.,NA,NA,"",81.9939747E-03,-1.18088257
Z:/abaqus_part_2/b_2d.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-1",36,-78.,0.,0.,NA,NA,"",78.6537230E-03,-1.14247620
Z:/abaqus_part_2/b_2d.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-1",37,-81.,0.,0.,NA,NA,"",73.8948658E-03,-1.08426070
Z:/abaqus_part_2/b_2d.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-1",38,-83.,0.,0.,NA,NA,"",70.8767474E-03,-1.04506707
Z:/abaqus_part_2/b_2d.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-1",39,-85.,0.,0.,NA,NA,"",67.9782704E-03,-1.00558484
Z:/abaqus_part_2/b_2d.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-1",40,-87.,0.,0.,NA,NA,"",65.2104989E-03,-965.823054E-03
Z:/abaqus_part_2/b_2d.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-1",41,-89.,0.,0.,NA,NA,"",62.5643209E-03,-925.798476E-03
Z:/abaqus_part_2/b_2d.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-1",42,-91.,0.,0.,NA,NA,"",60.0364879E-03,-885.522962E-03
Z:/abaqus_part_2/b_2d.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-1",43,-93.,0.,0.,NA,NA,"",57.6242693E-03,-845.008969E-03
