ODB Name,Step,Frame,Part Instance Name,Node Label,X,Y,Z,Section Name,Material Name,Section Point,U-U1,U-U2
Z:/abaqus_part_2/b_2d.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-1",1,-1.,0.,0.,NA,NA,"",189.764127E-03,-1.86375320
Z:/abaqus_part_2/b_2d.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-1",2,-130.,0.,0.,NA,NA,"",0.,-1.50000004E-33
Z:/abaqus_part_2/b_2d.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-1",3,-500.E-03,10.,0.,NA,NA,"",292.437494E-03,-1.86556065
Z:/abaqus_part_2/b_2d.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-1",4,0.,20.,0.,NA,NA,"",432.216913E-03,-1.85674369
Z:/abaqus_part_2/b_2d.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-1",5,500.E-03,10.,0.,NA,NA,"",577.018917E-03,-1.86966884
Z:/abaqus_part_2/b_2d.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-1",6,1.,0.,0.,NA,NA,"",679.639280E-03,-1.86730289
Z:/abaqus_part_2/b_2d.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-1",7,130.,0.,0.,NA,NA,"",868.182421E-03,-1.50000004E-33
Z:/abaqus_part_2/b_2d.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-1",8,130.,40.,0.,NA,NA,"",150.017038E-03,-32.0073403E-03
Z:/abaqus_part_2/b_2d.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-1",9,43.3333321,40.,0.,NA,NA,"",258.142114E-03,-1.45682609
Z:/abaqus_part_2/b_2d.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-1",10,-43.3333321,40.,0.,NA,NA,"",610.220253E-03,-1.45568490
Z:/abaqus_part_2/b_2d.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-1",11,-130.,40.,0.,NA,NA,"",717.750490E-03,-32.0757963E-03
Z:/abaqus_part_2/b_2d.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-1",12,-10.9230766,0.,0.,NA,NA,"",186.874136E-03,-1.76656222
Z:/abaqus_part_2/b_2d.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-1",13,-20.8461533,0.,0.,NA,NA,"",178.328007E-03,-1.67671072
Z:/abaqus_part_2/b_2d.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-1",14,-30.7692299,0.,0.,NA,NA,"",157.502145E-03,-1.58239508
Z:/abaqus_part_2/b_2d.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-1",15,-40.6923065,0.,0.,NA,NA,"",132.103652E-03,-1.47316074
