ODB Name,Step,Frame,Part Instance Name,Node Label,X,Y,Z,Section Name,Material Name,Section Point,U-U1,U-U2
Z:/abaqus_part_2/b_2d.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-1",36,699.999988E-03,6.,0.,NA,NA,"",783.377767E-03,-2.24251175
Z:/abaqus_part_2/b_2d.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-1",37,500.E-03,10.,0.,NA,NA,"",729.652762E-03,-2.24523950
Z:/abaqus_part_2/b_2d.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-1",38,400.000006E-03,12.,0.,NA,NA,"",701.297224E-03,-2.24624276
Z:/abaqus_part_2/b_2d.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-1",39,200.000003E-03,16.,0.,NA,NA,"",638.672829E-03,-2.24691272
Z:/abaqus_part_2/b_2d.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-1",40,1.,0.,0.,NA,NA,"",859.781802E-03,-2.23826361
Z:/abaqus_part_2/b_2d.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-1",41,126.030769,0.,0.,NA,NA,"",1.05750239,-126.008570E-03
Z:/abaqus_part_2/b_2d.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-1",42,122.061539,0.,0.,NA,NA,"",1.04986823,-217.141300E-03
Z:/abaqus_part_2/b_2d.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-1",43,118.092308,0.,0.,NA,NA,"",1.04510677,-303.258687E-03
Z:/abaqus_part_2/b_2d.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-1",44,112.138458,0.,0.,NA,NA,"",1.03961861,-429.117680E-03
Z:/abaqus_part_2/b_2d.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-1",45,108.169228,0.,0.,NA,NA,"",1.03621316,-511.813581E-03
Z:/abaqus_part_2/b_2d.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-1",46,104.199997,0.,0.,NA,NA,"",1.03269494,-593.771756E-03
